Ticket_ID,Customer_Age,Customer_Gender,Date_of_Purchase,Ticket_Type,Ticket_Status,Ticket_Priority,Ticket_Channel,First_Response_Time,Time_to_Resolution,Customer_Satisfaction_Rating,Resolution_Hours
54,37,Male,16-08-2021,Cancellation request,Closed,Low,Chat,01-06-2023 0:39,01-06-2023 10:25,4,9.77
55,68,Female,14-10-2021,Technical issue,Pending Customer Response,Low,Chat,01-06-2023 7:25,,,
56,50,Female,19-11-2021,Cancellation request,Pending Customer Response,Critical,Chat,01-06-2023 11:14,,,
57,69,Male,22-12-2021,Technical issue,Pending Customer Response,Medium,Social media,01-06-2023 10:33,,,
58,47,Other,28-07-2020,Refund request,Open,Critical,Email,,,,
59,27,Male,31-07-2020,Technical issue,Closed,Medium,Phone,01-06-2023 11:56,01-06-2023 4:45,5,-7.18
60,40,Other,05-09-2021,Product inquiry,Closed,Medium,Chat,01-06-2023 19:50,01-06-2023 0:38,3,-19.2
61,40,Male,16-11-2020,Cancellation request,Closed,Medium,Chat,01-06-2023 0:18,01-06-2023 11:55,1,11.62
62,41,Other,21-11-2021,Product inquiry,Pending Customer Response,Critical,Social media,01-06-2023 1:32,,,
63,64,Female,12-12-2020,Billing inquiry,Closed,High,Email,31-05-2023 23:37,01-06-2023 12:41,4,13.07
64,57,Female,24-04-2020,Billing inquiry,Pending Customer Response,High,Phone,01-06-2023 7:07,,,
65,61,Male,02-08-2021,Technical issue,Open,Medium,Phone,,,,
66,56,Male,11-11-2021,Technical issue,Pending Customer Response,Medium,Phone,31-05-2023 22:38,,,
67,49,Female,08-08-2021,Billing inquiry,Closed,High,Email,01-06-2023 5:06,01-06-2023 10:17,5,5.18
68,54,Male,27-06-2021,Cancellation request,Pending Customer Response,Low,Phone,01-06-2023 21:04,,,
69,51,Other,06-02-2021,Technical issue,Pending Customer Response,Critical,Chat,31-05-2023 23:00,,,
70,46,Female,13-02-2020,Refund request,Closed,High,Chat,01-06-2023 11:57,31-05-2023 22:51,1,-13.1
71,27,Male,15-05-2021,Cancellation request,Pending Customer Response,Medium,Chat,31-05-2023 23:49,,,
72,37,Other,26-09-2020,Refund request,Open,Medium,Social media,,,,
73,34,Female,16-02-2021,Billing inquiry,Closed,Low,Chat,01-06-2023 4:35,01-06-2023 3:17,4,-1.3
74,36,Other,09-11-2020,Cancellation request,Closed,Critical,Social media,01-06-2023 21:31,01-06-2023 2:24,3,-19.12
75,31,Female,16-04-2021,Billing inquiry,Open,Critical,Email,,,,
76,37,Other,06-01-2021,Product inquiry,Closed,Critical,Chat,01-06-2023 14:43,01-06-2023 2:30,1,-12.22
77,18,Other,30-06-2020,Cancellation request,Open,Critical,Phone,,,,
78,63,Female,29-12-2020,Billing inquiry,Closed,Low,Email,01-06-2023 19:16,01-06-2023 15:21,5,-3.92
79,55,Other,07-01-2021,Billing inquiry,Pending Customer Response,Medium,Social media,01-06-2023 16:57,,,
80,40,Other,03-11-2020,Technical issue,Pending Customer Response,Critical,Chat,01-06-2023 11:27,,,
81,50,Other,22-03-2021,Technical issue,Pending Customer Response,Critical,Phone,01-06-2023 7:27,,,
82,29,Other,22-07-2021,Cancellation request,Pending Customer Response,Medium,Email,01-06-2023 11:37,,,
83,24,Male,04-10-2021,Refund request,Closed,Low,Social media,01-06-2023 5:40,01-06-2023 20:35,1,14.92
84,57,Other,11-08-2021,Technical issue,Pending Customer Response,Critical,Phone,01-06-2023 0:24,,,
85,67,Other,02-08-2021,Technical issue,Open,Medium,Phone,,,,
86,67,Female,22-01-2021,Product inquiry,Open,High,Social media,,,,
87,46,Male,18-01-2020,Technical issue,Closed,Critical,Phone,01-06-2023 18:03,01-06-2023 6:23,2,-11.67
88,55,Other,10-09-2020,Technical issue,Pending Customer Response,High,Social media,01-06-2023 19:21,,,
89,42,Other,01-08-2021,Billing inquiry,Open,Critical,Email,,,,
90,40,Male,30-01-2020,Product inquiry,Closed,Medium,Email,31-05-2023 23:17,01-06-2023 3:09,5,3.87
91,57,Other,15-10-2020,Refund request,Pending Customer Response,High,Phone,01-06-2023 7:15,,,
92,62,Male,14-11-2021,Product inquiry,Pending Customer Response,Low,Email,01-06-2023 0:14,,,
93,44,Male,27-05-2021,Technical issue,Pending Customer Response,Low,Email,01-06-2023 15:57,,,
94,32,Female,24-05-2021,Refund request,Open,Low,Email,,,,
95,65,Other,06-12-2021,Product inquiry,Open,Critical,Phone,,,,
96,60,Male,02-10-2021,Product inquiry,Closed,High,Chat,01-06-2023 0:08,01-06-2023 18:39,5,18.52
97,18,Female,25-10-2020,Cancellation request,Open,High,Social media,,,,
98,22,Other,18-01-2020,Product inquiry,Pending Customer Response,High,Email,01-06-2023 1:55,,,
99,38,Male,09-09-2020,Billing inquiry,Closed,High,Chat,01-06-2023 7:05,01-06-2023 14:45,5,7.67
100,23,Other,15-05-2020,Technical issue,Pending Customer Response,Low,Chat,01-06-2023 15:32,,,
101,39,Female,31-05-2020,Cancellation request,Pending Customer Response,High,Email,01-06-2023 21:36,,,
102,18,Other,01-08-2021,Billing inquiry,Pending Customer Response,Critical,Phone,01-06-2023 21:00,,,
103,40,Female,26-01-2021,Refund request,Closed,Critical,Email,01-06-2023 3:07,01-06-2023 15:23,3,12.27
104,49,Male,24-02-2020,Refund request,Open,High,Chat,,,,
105,58,Male,27-06-2021,Refund request,Open,High,Phone,,,,
106,56,Other,17-07-2021,Product inquiry,Pending Customer Response,Critical,Chat,01-06-2023 2:08,,,
107,42,Female,20-05-2021,Cancellation request,Closed,Low,Email,01-06-2023 11:38,01-06-2023 20:46,2,9.13
108,50,Other,09-06-2021,Technical issue,Pending Customer Response,High,Email,01-06-2023 15:49,,,
109,33,Male,08-01-2020,Technical issue,Closed,Critical,Chat,01-06-2023 2:55,01-06-2023 8:15,4,5.33
110,59,Female,10-03-2020,Product inquiry,Open,High,Email,,,,
111,60,Female,28-07-2021,Cancellation request,Closed,High,Email,01-06-2023 3:14,01-06-2023 12:43,2,9.48
112,68,Male,29-11-2021,Refund request,Open,High,Phone,,,,
113,68,Female,24-03-2020,Product inquiry,Open,Medium,Social media,,,,
114,27,Other,12-11-2021,Cancellation request,Closed,High,Email,01-06-2023 3:24,31-05-2023 22:24,1,-5
115,28,Female,20-09-2020,Cancellation request,Closed,High,Email,01-06-2023 10:27,01-06-2023 6:04,1,-4.38
116,29,Male,16-01-2021,Technical issue,Open,Critical,Email,,,,
117,20,Female,27-11-2021,Cancellation request,Closed,High,Email,01-06-2023 19:02,01-06-2023 18:17,5,-0.75
118,18,Male,16-02-2020,Billing inquiry,Closed,Medium,Phone,01-06-2023 0:40,01-06-2023 4:42,5,4.03
119,39,Female,17-08-2020,Refund request,Open,High,Email,,,,
120,41,Female,31-07-2021,Billing inquiry,Closed,Low,Phone,01-06-2023 4:22,01-06-2023 14:49,2,10.45
121,56,Male,11-03-2021,Billing inquiry,Pending Customer Response,Medium,Chat,01-06-2023 18:02,,,
122,37,Other,03-03-2021,Product inquiry,Open,Critical,Chat,,,,
123,29,Other,03-10-2020,Refund request,Open,Low,Social media,,,,
124,36,Other,27-12-2021,Product inquiry,Pending Customer Response,Low,Email,01-06-2023 13:08,,,
125,63,Male,23-03-2021,Technical issue,Pending Customer Response,High,Phone,01-06-2023 2:14,,,
126,45,Male,27-06-2020,Refund request,Open,Medium,Chat,,,,
127,68,Female,22-06-2020,Billing inquiry,Open,Low,Social media,,,,
128,57,Male,28-09-2020,Refund request,Pending Customer Response,Low,Email,01-06-2023 3:09,,,
129,49,Male,15-04-2021,Cancellation request,Closed,Medium,Email,31-05-2023 22:12,01-06-2023 0:29,3,2.28
130,55,Other,05-05-2021,Cancellation request,Pending Customer Response,Low,Email,01-06-2023 7:38,,,
131,43,Male,13-02-2020,Billing inquiry,Closed,Medium,Email,01-06-2023 21:31,01-06-2023 15:03,2,-6.47
132,49,Male,24-11-2021,Product inquiry,Pending Customer Response,Critical,Social media,01-06-2023 20:57,,,
133,65,Female,01-05-2021,Cancellation request,Open,Medium,Phone,,,,
134,50,Male,17-06-2021,Refund request,Closed,Critical,Phone,01-06-2023 17:14,31-05-2023 22:53,5,-18.35
135,66,Male,01-05-2020,Cancellation request,Closed,Critical,Email,01-06-2023 7:40,01-06-2023 1:07,2,-6.55
136,35,Female,30-10-2021,Product inquiry,Pending Customer Response,Low,Chat,01-06-2023 2:05,,,
137,46,Other,01-10-2020,Cancellation request,Open,Critical,Email,,,,
138,21,Other,20-12-2021,Technical issue,Closed,Low,Chat,01-06-2023 9:56,01-06-2023 9:08,4,-0.8
139,58,Male,12-02-2021,Product inquiry,Closed,Critical,Chat,31-05-2023 23:52,01-06-2023 6:58,2,7.1
140,31,Other,12-03-2021,Cancellation request,Pending Customer Response,Low,Phone,01-06-2023 19:46,,,
141,47,Male,09-05-2021,Cancellation request,Closed,Critical,Email,01-06-2023 9:35,01-06-2023 5:30,1,-4.08
142,31,Other,13-04-2020,Technical issue,Closed,High,Chat,01-06-2023 21:18,01-06-2023 5:10,2,-16.13
143,38,Female,26-04-2021,Billing inquiry,Pending Customer Response,High,Chat,01-06-2023 14:31,,,
144,38,Female,05-05-2021,Cancellation request,Open,Critical,Email,,,,
145,25,Female,02-04-2021,Refund request,Open,Low,Social media,,,,
146,46,Male,12-10-2020,Cancellation request,Pending Customer Response,Medium,Email,01-06-2023 15:24,,,
147,39,Male,11-07-2021,Cancellation request,Open,Low,Email,,,,
148,22,Female,06-10-2020,Billing inquiry,Closed,Low,Social media,01-06-2023 13:45,31-05-2023 23:28,3,-14.28
149,40,Other,24-10-2021,Refund request,Closed,High,Chat,01-06-2023 8:45,01-06-2023 13:55,1,5.17
150,64,Female,18-03-2021,Technical issue,Closed,Critical,Email,01-06-2023 16:34,01-06-2023 20:02,3,3.47
151,29,Female,14-10-2020,Refund request,Closed,Critical,Email,01-06-2023 15:33,01-06-2023 6:51,4,-8.7
152,45,Other,24-12-2021,Refund request,Pending Customer Response,Medium,Phone,01-06-2023 12:33,,,
153,46,Other,19-10-2021,Product inquiry,Pending Customer Response,Low,Social media,01-06-2023 15:58,,,
154,58,Male,12-03-2020,Technical issue,Pending Customer Response,Medium,Social media,01-06-2023 2:50,,,
155,55,Female,09-06-2021,Technical issue,Open,Medium,Social media,,,,
156,52,Male,29-01-2020,Cancellation request,Open,Low,Chat,,,,
157,20,Male,11-12-2020,Product inquiry,Open,Low,Social media,,,,
158,69,Male,29-01-2020,Technical issue,Open,Medium,Phone,,,,
159,35,Male,30-11-2021,Product inquiry,Pending Customer Response,Low,Social media,01-06-2023 2:19,,,
160,55,Other,03-02-2021,Billing inquiry,Pending Customer Response,High,Email,01-06-2023 19:33,,,
161,19,Female,19-07-2020,Refund request,Pending Customer Response,High,Email,01-06-2023 10:20,,,
162,29,Female,06-01-2020,Refund request,Closed,High,Phone,01-06-2023 3:19,01-06-2023 15:58,3,12.65
163,30,Male,23-10-2021,Refund request,Closed,Critical,Phone,01-06-2023 21:38,01-06-2023 10:37,1,-11.02
164,34,Male,11-11-2020,Cancellation request,Closed,Medium,Phone,01-06-2023 19:15,01-06-2023 9:02,3,-10.22
165,24,Male,21-05-2021,Billing inquiry,Closed,Low,Social media,01-06-2023 19:39,01-06-2023 21:26,5,1.78
166,33,Male,25-07-2020,Product inquiry,Pending Customer Response,Low,Email,01-06-2023 7:21,,,
167,32,Female,03-04-2020,Refund request,Closed,Medium,Email,01-06-2023 4:35,01-06-2023 7:29,3,2.9
168,41,Male,31-01-2020,Technical issue,Closed,Medium,Chat,01-06-2023 12:41,01-06-2023 6:19,3,-6.37
169,51,Other,03-09-2021,Billing inquiry,Open,High,Social media,,,,
170,30,Male,04-08-2020,Product inquiry,Closed,Medium,Phone,01-06-2023 14:14,01-06-2023 11:08,1,-3.1
171,44,Female,24-12-2021,Billing inquiry,Closed,Low,Social media,01-06-2023 15:42,01-06-2023 18:36,4,2.9
172,33,Female,11-12-2020,Refund request,Open,Low,Chat,,,,
173,36,Other,27-01-2020,Cancellation request,Pending Customer Response,Medium,Social media,01-06-2023 10:53,,,
174,50,Other,01-10-2021,Refund request,Pending Customer Response,Medium,Email,31-05-2023 23:10,,,
175,37,Male,05-10-2021,Technical issue,Pending Customer Response,Critical,Chat,01-06-2023 19:22,,,
176,42,Other,18-10-2021,Technical issue,Closed,Medium,Email,01-06-2023 13:14,01-06-2023 7:23,4,-5.85
177,49,Female,16-11-2021,Technical issue,Pending Customer Response,Medium,Email,01-06-2023 2:45,,,
178,27,Other,21-09-2020,Cancellation request,Pending Customer Response,High,Phone,01-06-2023 11:03,,,
179,25,Other,19-04-2020,Billing inquiry,Open,Medium,Chat,,,,
180,58,Female,03-06-2021,Billing inquiry,Pending Customer Response,Critical,Phone,01-06-2023 18:36,,,
181,60,Other,17-11-2021,Refund request,Pending Customer Response,Medium,Email,01-06-2023 3:33,,,
182,34,Other,26-11-2020,Cancellation request,Pending Customer Response,Critical,Social media,01-06-2023 20:47,,,
183,33,Female,18-04-2021,Product inquiry,Closed,High,Chat,01-06-2023 1:29,01-06-2023 6:34,4,5.08
184,32,Female,16-03-2020,Billing inquiry,Closed,Medium,Phone,31-05-2023 23:38,01-06-2023 3:51,4,4.22
185,29,Female,17-10-2021,Refund request,Pending Customer Response,High,Chat,01-06-2023 13:47,,,
186,50,Other,19-03-2021,Technical issue,Open,Low,Phone,,,,
187,33,Female,23-04-2021,Product inquiry,Pending Customer Response,Medium,Phone,01-06-2023 7:30,,,
188,46,Male,19-01-2021,Cancellation request,Pending Customer Response,Low,Phone,01-06-2023 17:14,,,
189,37,Other,10-01-2021,Refund request,Closed,High,Phone,01-06-2023 15:58,01-06-2023 7:32,1,-8.43
190,46,Other,25-04-2020,Technical issue,Open,Critical,Social media,,,,
191,70,Other,09-02-2021,Refund request,Pending Customer Response,Critical,Phone,01-06-2023 3:09,,,
192,57,Female,14-10-2020,Product inquiry,Pending Customer Response,Low,Email,31-05-2023 23:17,,,
193,58,Other,28-10-2021,Product inquiry,Closed,Medium,Phone,01-06-2023 21:31,31-05-2023 22:49,1,-22.7
194,18,Male,03-09-2021,Cancellation request,Pending Customer Response,Critical,Chat,01-06-2023 5:08,,,
195,57,Male,15-06-2021,Billing inquiry,Closed,Medium,Social media,01-06-2023 4:08,01-06-2023 11:49,2,7.68
196,29,Other,11-06-2020,Refund request,Open,High,Social media,,,,
197,66,Female,08-08-2021,Refund request,Pending Customer Response,Low,Social media,01-06-2023 18:04,,,
198,30,Male,28-01-2021,Refund request,Closed,High,Chat,01-06-2023 2:54,31-05-2023 22:36,3,-4.3
199,60,Female,23-07-2021,Cancellation request,Closed,Critical,Chat,01-06-2023 1:07,01-06-2023 19:24,5,18.28
200,66,Other,19-09-2020,Product inquiry,Closed,Medium,Chat,01-06-2023 12:39,01-06-2023 20:34,5,7.92
201,51,Other,13-01-2021,Product inquiry,Open,Critical,Email,,,,
202,55,Other,16-12-2021,Refund request,Open,Medium,Social media,,,,
203,26,Female,01-04-2021,Billing inquiry,Open,Medium,Chat,,,,
204,46,Male,19-05-2020,Product inquiry,Pending Customer Response,Low,Phone,31-05-2023 23:25,,,
205,43,Female,11-06-2020,Cancellation request,Closed,High,Phone,01-06-2023 17:47,01-06-2023 17:50,3,0.05
206,55,Male,24-11-2020,Refund request,Closed,Medium,Phone,01-06-2023 13:56,01-06-2023 11:18,1,-2.63
207,47,Male,04-11-2020,Billing inquiry,Open,High,Phone,,,,
208,48,Female,27-07-2021,Billing inquiry,Pending Customer Response,Critical,Email,01-06-2023 0:51,,,
209,38,Male,12-03-2021,Refund request,Open,High,Email,,,,
210,62,Other,04-02-2020,Technical issue,Closed,Low,Chat,01-06-2023 21:50,01-06-2023 20:10,1,-1.67
211,39,Male,16-01-2020,Technical issue,Pending Customer Response,Low,Phone,31-05-2023 23:41,,,
212,49,Other,06-04-2020,Product inquiry,Pending Customer Response,Low,Social media,01-06-2023 12:37,,,
213,34,Female,15-04-2021,Technical issue,Open,Medium,Social media,,,,
214,62,Male,24-12-2021,Billing inquiry,Open,High,Phone,,,,
215,28,Male,03-03-2020,Product inquiry,Open,Low,Email,,,,
216,59,Female,13-09-2021,Billing inquiry,Open,Critical,Chat,,,,
217,18,Female,03-01-2021,Technical issue,Pending Customer Response,High,Chat,01-06-2023 14:13,,,
218,20,Other,02-12-2020,Billing inquiry,Open,Low,Chat,,,,
219,44,Male,12-02-2021,Billing inquiry,Pending Customer Response,Critical,Email,01-06-2023 3:11,,,
220,65,Female,23-09-2021,Technical issue,Closed,Critical,Social media,01-06-2023 9:57,01-06-2023 11:02,2,1.08
221,70,Female,21-03-2021,Billing inquiry,Closed,Medium,Social media,01-06-2023 13:53,01-06-2023 5:45,5,-8.13
222,34,Other,27-03-2021,Billing inquiry,Pending Customer Response,Critical,Chat,01-06-2023 9:13,,,
223,64,Other,05-02-2021,Cancellation request,Pending Customer Response,Critical,Phone,31-05-2023 23:24,,,
224,67,Female,27-05-2020,Refund request,Pending Customer Response,Low,Chat,31-05-2023 22:57,,,
225,59,Male,16-11-2020,Refund request,Open,Medium,Chat,,,,
226,35,Female,29-03-2020,Technical issue,Closed,High,Chat,01-06-2023 12:23,31-05-2023 21:54,4,-14.48
227,53,Female,04-01-2021,Billing inquiry,Closed,High,Phone,31-05-2023 22:49,01-06-2023 16:11,4,17.37
228,56,Male,08-03-2020,Cancellation request,Pending Customer Response,Low,Phone,01-06-2023 4:59,,,
229,32,Male,21-07-2020,Billing inquiry,Open,Low,Phone,,,,
230,66,Male,20-02-2021,Technical issue,Closed,Critical,Social media,01-06-2023 8:10,01-06-2023 10:40,2,2.5
231,65,Male,29-06-2020,Refund request,Pending Customer Response,Low,Chat,01-06-2023 16:17,,,
232,55,Male,31-10-2020,Technical issue,Pending Customer Response,High,Phone,01-06-2023 0:58,,,
233,40,Male,21-03-2021,Technical issue,Open,High,Email,,,,
234,67,Other,01-02-2021,Refund request,Pending Customer Response,High,Chat,01-06-2023 13:13,,,
235,65,Female,29-03-2020,Cancellation request,Open,Critical,Chat,,,,
236,18,Female,04-12-2020,Billing inquiry,Pending Customer Response,Critical,Email,01-06-2023 5:47,,,
237,40,Male,07-01-2021,Refund request,Closed,Critical,Phone,01-06-2023 8:21,01-06-2023 0:43,3,-7.63
238,31,Male,16-09-2021,Product inquiry,Closed,High,Social media,01-06-2023 0:51,01-06-2023 8:38,4,7.78
239,69,Female,21-01-2021,Refund request,Pending Customer Response,Critical,Email,01-06-2023 16:22,,,
240,48,Male,22-02-2020,Cancellation request,Open,Low,Email,,,,
241,66,Male,25-07-2021,Technical issue,Closed,Low,Social media,01-06-2023 12:44,01-06-2023 9:42,5,-3.03
242,55,Male,26-10-2021,Billing inquiry,Closed,Low,Social media,01-06-2023 8:10,01-06-2023 21:49,2,13.65
243,30,Male,29-05-2021,Technical issue,Open,Critical,Chat,,,,
244,43,Other,21-05-2020,Technical issue,Pending Customer Response,Critical,Chat,01-06-2023 6:35,,,
245,66,Female,15-01-2020,Cancellation request,Pending Customer Response,Medium,Phone,01-06-2023 6:07,,,
246,55,Male,07-04-2020,Billing inquiry,Pending Customer Response,Medium,Phone,01-06-2023 4:19,,,
247,59,Male,09-02-2020,Technical issue,Pending Customer Response,Medium,Chat,01-06-2023 5:41,,,
248,37,Other,22-01-2020,Billing inquiry,Open,Medium,Chat,,,,
249,44,Male,22-04-2021,Refund request,Pending Customer Response,Critical,Social media,01-06-2023 9:57,,,
250,35,Male,20-09-2021,Refund request,Closed,High,Chat,01-06-2023 15:10,01-06-2023 14:34,3,-0.6
251,19,Female,27-07-2021,Technical issue,Closed,Critical,Phone,01-06-2023 3:15,01-06-2023 8:04,2,4.82
252,29,Other,05-12-2020,Technical issue,Pending Customer Response,Critical,Social media,01-06-2023 14:54,,,
253,40,Other,20-03-2020,Cancellation request,Pending Customer Response,High,Social media,01-06-2023 3:30,,,
254,69,Female,13-11-2021,Technical issue,Pending Customer Response,High,Social media,01-06-2023 19:13,,,
255,51,Female,15-05-2021,Refund request,Pending Customer Response,Low,Email,01-06-2023 11:01,,,
256,58,Female,22-11-2020,Refund request,Open,High,Social media,,,,
257,58,Female,18-07-2021,Cancellation request,Pending Customer Response,High,Chat,01-06-2023 2:09,,,
258,24,Female,09-06-2020,Cancellation request,Open,High,Social media,,,,
259,59,Female,05-02-2021,Product inquiry,Open,High,Chat,,,,
260,33,Male,14-08-2021,Billing inquiry,Closed,Low,Social media,01-06-2023 5:54,01-06-2023 11:26,5,5.53
261,56,Other,04-05-2021,Billing inquiry,Pending Customer Response,High,Social media,01-06-2023 0:09,,,
262,42,Female,22-01-2021,Billing inquiry,Open,Critical,Phone,,,,
263,48,Male,11-12-2021,Product inquiry,Closed,Medium,Chat,01-06-2023 5:44,01-06-2023 0:08,2,-5.6
264,52,Male,23-01-2021,Product inquiry,Open,Medium,Chat,,,,
265,46,Other,28-06-2021,Refund request,Closed,Critical,Social media,01-06-2023 16:39,01-06-2023 4:42,3,-11.95
266,29,Male,27-04-2020,Cancellation request,Closed,Medium,Chat,01-06-2023 20:18,01-06-2023 16:15,2,-4.05
267,20,Female,03-10-2020,Technical issue,Open,High,Phone,,,,
268,37,Male,22-02-2020,Technical issue,Open,Low,Social media,,,,
269,69,Female,21-08-2020,Cancellation request,Pending Customer Response,Medium,Phone,01-06-2023 8:03,,,
270,64,Other,10-05-2021,Refund request,Closed,High,Social media,01-06-2023 7:21,01-06-2023 16:09,3,8.8
271,63,Male,08-01-2021,Billing inquiry,Closed,Critical,Phone,01-06-2023 14:06,01-06-2023 13:27,1,-0.65
272,44,Other,15-07-2021,Refund request,Open,Critical,Phone,,,,
273,43,Male,25-10-2021,Technical issue,Pending Customer Response,Critical,Chat,01-06-2023 11:24,,,
274,35,Other,05-04-2020,Technical issue,Open,High,Phone,,,,
275,53,Male,16-04-2021,Cancellation request,Open,Medium,Chat,,,,
276,61,Female,01-05-2021,Refund request,Open,Low,Chat,,,,
277,63,Female,01-12-2021,Billing inquiry,Open,Medium,Chat,,,,
278,39,Female,26-02-2020,Billing inquiry,Closed,Medium,Chat,01-06-2023 20:36,01-06-2023 14:25,4,-6.18
279,21,Other,07-06-2021,Technical issue,Closed,Low,Social media,01-06-2023 0:42,31-05-2023 23:05,5,-1.62
